customerId,primaryAccountNumber,balance,Salary,firstName,lastName,middleName,alias,passport,fatherLastName,fatherFirstName,fatherMiddleName,spouseLastName,spouseFirstName,spouseMiddleName,dateOfBirth,marital_Status,addressLine1,addressLine2,addressCity,addressZipCode,addressState,addressCountry,primaryPhone,secondaryPhone,landLinePhone,primaryEmailId,secondaryEmailId,primaryOccupation,primaryOccupationEmployerName,primaryOccupationAddressLine1,primaryOccupationAddressLine2,primaryOccupationAddressCity,primaryOccupationAddressZipCode,primaryOccupationAddressState,primaryOccupationAddressCountry,primaryOccupationPrimaryPhone,primaryOccupationSecondaryPhone,debitCardNo,primaryBranchcode,accountType
1,67710,33805,135220,Maria,Brown,Matthew,Maria,060764529-6,pellentesque at nulla suspendisse potenti cras,Washington,Brian,Roger,Mitchell,Brenda,Linda,Married,24 Sheridan Road,8 Cardinal Parkway,Sadar Bazar,281002,Uttar Pradesh,North_Korea,8632893802,9668716608,8189284073,lmitchell0@howstuffworks.com,lmitchell0@goodreads.com,Self_Employed,Civic Impulse LLC,49692 Maple Wood Plaza,49 Hermina Way,Agraharam,532663,Andhra Pradesh,India,9478532797,8951963418,8369325992,USA-WV25984,Current
2,46080,58273,233092,Carl,Duncan,Beverly,Duncan,150703790-2,id ornare imperdiet sapien urna pretium,Webb,John,Deborah,Carr,Jose,Frank,Married,2 Susan Lane,94823 Spohn Crossing,R S,395003,Gujarat,Germany,8192065863,9093937009,8779477318,fcarr1@multiply.com,fcarr1@t-online.de,Private,Pave,65871 Kingsford Lane,7 Kedzie Lane,Sadar Bazar,281002,Uttar Pradesh,India,8904572367,8580611082,8394396157,USA-WA98116,Savings
3,46310,70728,282912,Bruce,Harris,Kimberly,Harris,444345101-3,nulla neque libero convallis eget eleifend luctus ultricies eu nibh,Alvarez,Kevin,Louise,Hawkins,Donna,Fred,Married,70624 Dayton Court,8673 David Street,Sadar Bazar,281002,Uttar Pradesh,USA,9120207572,8977377010,9806384398,fhawkins2@last.fm,fhawkins2@yandex.ru,Private,YourMapper,0162 7th Place,5519 4th Center,R S,395003,Gujarat,India,8229539468,9055630942,8676995478,USA-NV89014,Current
4,63285,25517,102068,Michelle,Moore,Patrick,Moore,362351384-9,congue elementum in hac habitasse platea,Ferguson,Laura,,,,Jane,Divorced,834 Bellgrove Junction,6655 Pleasure Plaza,Agraharam,532663,Andhra Pradesh,USA,9362502351,9818443603,8410800328,jnichols3@bloglovin.com,jnichols3@ezinearticles.com,Private,Code for America,26851 Mcbride Street,02 Mitchell Court,Agraharam,532663,Andhra Pradesh,India,9712399934,8616718358,9709769978,USA-NV89014,Savings
5,27619,19656,78624,Carl,Duncan,Christina,Duncan,428466580-4,in hac habitasse platea dictumst maecenas ut massa quis augue,Gibson,Rachel,,,,Kathleen,Unmarried,55 Bonner Park,6 Vidon Road,Agraharam,532663,Andhra Pradesh,USA,8689239396,8977739940,8108926561,ktorres4@vimeo.com,ktorres4@microsoft.com,Private,Brightscope,3208 Evergreen Place,2559 Maple Crossing,Sadar Bazar,281002,Uttar Pradesh,India,8252682335,9194370281,9875007095,USA-WV25984,Current
6,46009,49248,196992,Joan,Fields,Margaret,Fields,315920843-5,est congue elementum in hac habitasse,Mcdonald,Katherine,,,,Melissa,Unmarried,11643 Pepper Wood Crossing,4698 Main Junction,Agraharam,532663,Andhra Pradesh,USA,9771684255,9099181174,8425579410,marmstrong5@behance.net,marmstrong5@posterous.com,Private,Lumesis Inc.,0 Florence Point,12491 Becker Trail,Sadar Bazar,281002,Uttar Pradesh,India,8253811873,9726075373,9565938833,USA-FL34109,Current
7,25562,36589,146356,Jason,Jacobs,Russell,Jacobs,582164934-X,tristique in tempus sit amet sem fusce consequat,Simpson,Teresa,,,,Jonathan,Divorced,35237 Dapin Place,0 Springs Way,Sadar Bazar,281002,Uttar Pradesh,USA,9083962740,9459153626,9517347303,jharvey6@mit.edu,jharvey6@dagondesign.com,Private,Fuzion Apps Inc.,6472 Gulseth Junction,236 Barnett Circle,R S,395003,Gujarat,India,8914606980,9581517993,8613233407,USA-ND58444,Current
8,14038,49938,199752,Judy,Andrews,Heather,Andrews,955835108-3,tempor turpis nec euismod scelerisque quam turpis adipiscing,Stevens,Keith,,,,Jean,Divorced,86 Holmberg Drive,6843 Knutson Terrace,Sadar Bazar,281002,Uttar Pradesh,USA,9210441534,8198935640,8238808251,jrodriguez7@com.com,jrodriguez7@flickr.com,Private,Investormill,7 Bashford Point,3249 Talisman Way,Sadar Bazar,281002,Uttar Pradesh,India,9840841729,9525160550,9556822872,USA-GA30519,Current
9,46416,79268,317072,Tammy,Richards,Denise,Richards,212970399-2,maecenas tincidunt lacus at velit vivamus vel nulla,Reed,Jane,Adam,Castillo,Jean,Jose,Married,08 High Crossing Way,5883 Vahlen Point,R S,395003,Gujarat,USA,8177308404,8331815425,9884772096,jcastillo8@mapy.cz,jcastillo8@163.com,Private,HelloWallet,81 Michigan Street,09 Mayer Alley,Agraharam,532663,Andhra Pradesh,India,9676623092,8208905112,9608902228,USA-NM87002,Savings
10,61008,42004,168016,Karen,Dean,Amy,Dean,872418008-4,tincidunt eget tempus vel pede,Gonzales,Betty,,,,Daniel,Divorced,06 Warner Alley,7160 New Castle Court,Sadar Bazar,281002,Uttar Pradesh,USA,9820476349,8426651092,8673578852,dscott9@sfgate.com,dscott9@ucoz.ru,Private,Whitby Group,6 Mandrake Alley,21 Del Sol Junction,Agraharam,532663,Andhra Pradesh,India,9748684295,8794019587,9318578489,USA-FL34109,Savings
