"","transactionId","fromCustomerId","fromAccountNo","toCustomerId","toAccountNo","transactionSource","debitCreditIndicator","amount","timeOfTransaction","date","status","chequeId","wireId","onlineId","branchCode","description","tran_cluster"
"6902",4460670,70,14533,452,11254,"Cheque","debit",48008,"00:02:47",2020-07-11,"Completed","2816340",0,"","USA-WA98116","",3
"6904",9989423,70,14533,452,11254,"Cheque","debit",28470,"03:40:29",2020-07-11,"Completed","3136363",0,"","USA-WA98116","",3
"6909",6036679,70,14533,452,11254,"Cheque","debit",48973,"02:27:48",2020-07-11,"Completed","1358555",0,"","USA-WA98116","",3
"6912",8013978,70,14533,452,11254,"Cheque","debit",48826,"04:00:48",2020-07-11,"Completed","9208155",0,"","USA-WA98116","",3
"6914",3559291,70,14533,452,11254,"Cheque","debit",27924,"00:53:32",2020-07-11,"Completed","1900302",0,"","USA-WA98116","",3
"6916",7462877,70,14533,452,11254,"Cheque","debit",23574,"00:00:59",2020-07-11,"Completed","5906349",0,"","USA-WA98116","",3
"6917",1150301,70,14533,452,11254,"Cheque","debit",47316,"02:07:48",2020-07-11,"Completed","3362242",0,"","USA-WA98116","",3
"6919",3334204,70,14533,452,11254,"Cheque","debit",27257,"00:34:50",2020-07-11,"Completed","7197623",0,"","USA-WA98116","",3
"6928",1668908,70,14533,452,11254,"Cheque","debit",28230,"00:46:42",2020-07-11,"Completed","6246508",0,"","USA-WA98116","",3
"6929",7738274,70,14533,452,11254,"Cheque","debit",43674,"03:45:03",2020-07-11,"Completed","3956035",0,"","USA-WA98116","",3
"6930",3191702,70,14533,452,11254,"Cheque","debit",45187,"03:41:19",2020-07-11,"Completed","155241",0,"","USA-WA98116","",3
"6931",9220581,70,14533,452,11254,"Cheque","debit",25707,"02:13:27",2020-07-11,"Completed","2817303",0,"","USA-WA98116","",3
"6932",7560884,70,14533,452,11254,"Cheque","debit",25297,"01:57:20",2020-07-11,"Completed","5485118",0,"","USA-WA98116","",3
"6937",9802171,70,14533,452,11254,"Cheque","debit",29930,"03:58:13",2020-07-11,"Completed","6664864",0,"","USA-WA98116","",3
"6940",2366338,70,14533,452,11254,"Cheque","debit",22425,"01:12:08",2020-07-11,"Completed","5422250",0,"","USA-WA98116","",3
"6941",3517338,70,14533,452,11254,"Cheque","debit",48315,"00:41:01",2020-07-11,"Completed","4781768",0,"","USA-WA98116","",3
"6943",3570756,70,14533,452,11254,"Cheque","debit",24092,"01:42:43",2020-07-11,"Completed","3270579",0,"","USA-WA98116","",3
"6968",998021,70,14533,452,11254,"Cheque","debit",33273,"01:21:58",2020-07-11,"Completed","7033343",0,"","USA-WA98116","",3
"6969",8475775,70,14533,452,11254,"Cheque","debit",45135,"01:55:42",2020-07-11,"Completed","8273638",0,"","USA-WA98116","",3
"6970",6609631,70,14533,452,11254,"Cheque","debit",46793,"01:33:06",2020-07-11,"Completed","4626956",0,"","USA-WA98116","",3
